solID,dep_var_type,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initCPAUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmCPAUnit,optmResponseUnitLift,optmResponseUnitTotalLift
4_1401_4,conversion,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3973402,128656375,1006830.19397057,21023.291005291,0.0208806719655305,2.72945276775902,31.6454453684175,0.000129829947512599,128656375,1006830.19397057,0,25227.9492063492,0.2,1006830.19397057,-5.32907051820075e-15,0.0250568063586368,4.1483999582978,35.8728163014825,0.000164436669995109,0.519865083323567,0.133585445989141
4_1401_4,conversion,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3712528,128656375,1006830.19397057,8735.36,0.00867610055033303,0.275492618792944,31.6454453684175,3.15376376924298e-05,128656375,1006830.19397057,0,8462.09070368979,-0.0312831178463411,1006830.19397057,-5.32907051820075e-15,0.0084046850743703,0.267961711366077,35.8728163014825,3.16661355626023e-05,-0.0273361495486256,0.133585445989141
4_1401_4,conversion,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,9915433,128656375,1006830.19397057,25359.1636828645,0.0251871306946578,0.240637672292698,31.6454453684175,9.48918013630318e-06,128656375,1006830.19397057,0,17751.4145780051,-0.3,1006830.19397057,-5.32907051820075e-15,0.0176309914862605,0.098807524864837,35.8728163014825,5.56617752521337e-06,-0.58939294947695,0.133585445989141
4_1401_4,conversion,FB_50_S,2020-05-06,2022-03-31,695 days,0.7,1.2,92379,128656375,1006830.19397057,3421.44444444444,0.00339823384810452,2.01533447472469,31.6454453684175,0.000589030307944086,128656375,1006830.19397057,0,4105.73333333333,0.2,1006830.19397057,-5.32907051820075e-15,0.00407788061772545,2.36084922486681,35.8728163014825,0.000575012801172379,0.171442881802196,0.133585445989141
4_1401_4,conversion,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,49052834,128656375,1006830.19397057,75004.3333333333,0.0744955145192293,2.0174877629567,31.6454453684175,2.68982827164212e-05,128656375,1006830.19397057,0,52503.0739092918,-0.299999459018478,1006830.19397057,-5.32907051820075e-15,0.0521469004641577,1.70031086013522,35.8728163014825,3.23849773648073e-05,-0.157213792641124,0.133585445989141
4_1401_4,conversion,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,27575823,128656375,1006830.19397057,40792.6375739645,0.040515906076568,0.254478187601884,31.6454453684175,6.23833619830217e-06,128656375,1006830.19397057,0,28554.8463017751,-0.3,1006830.19397057,-5.32907051820075e-15,0.0283611342535978,0.176642525947041,35.8728163014825,6.18607868101393e-06,-0.305863784980316,0.133585445989141
4_1401_4,conversion,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30309208,128656375,1006830.19397057,45170.2056631893,0.0448637773615572,3.67019049031903,31.6454453684175,8.12524635749e-05,128656375,1006830.19397057,0,54204.2467958271,0.2,1006830.19397057,-5.32907051820075e-15,0.053836532833869,4.09815057577298,35.8728163014825,7.56057102169433e-05,0.116604325193147,0.133585445989141
4_1401_4,conversion,Google_Proslisting_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1391576,128656375,1006830.19397057,10384.8955223881,0.0103144458564893,0.760791019576168,31.6454453684175,7.32593811787545e-05,128656375,1006830.19397057,0,12461.8746268657,0.2,1006830.19397057,-5.32907051820075e-15,0.0123773350277872,0.891663692061768,35.8728163014825,7.1551329054418e-05,0.172021841896226,0.133585445989141
4_1401_4,conversion,Influencer_big_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2260000,128656375,1006830.19397057,753333.333333333,0.748222826296518,13.9374577862731,31.6454453684175,1.85010501587697e-05,128656375,1006830.19397057,0,775232.329221313,0.0290694635681146,1006830.19397057,-5.32907051820075e-15,0.76997326248638,14.6591310009179,35.8728163014825,1.89093391082417e-05,0.051779400928879,0.133585445989141
4_1401_4,conversion,Influencer_small_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,76999,128656375,1006830.19397057,19249.75,0.01911916241217,4.77045319323967,31.6454453684175,0.00024781896872633,128656375,1006830.19397057,0,23099.7,0.2,1006830.19397057,-5.32907051820075e-15,0.0229429948946041,6.34541131907295,35.8728163014825,0.000274696698185385,0.330148533490528,0.133585445989141
4_1401_4,conversion,Yahoo_S,2020-05-06,2022-03-31,695 days,0.7,1.2,296193,128656375,1006830.19397057,4355.77941176471,0.00432623041884262,0.973669394881553,31.6454453684175,0.000223535056034226,128656375,1006830.19397057,0,5226.93529411765,0.2,1006830.19397057,-5.32907051820075e-15,0.00519147650261117,1.12548790817915,35.8728163014825,0.000215324629988393,0.155924088911174,0.133585445989141
