solID,dep_var_type,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initCPAUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmCPAUnit,optmResponseUnitLift,optmResponseUnitTotalLift
1_1334_1,conversion,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.5,3,3973402,145304373,1055556.95250286,21023.291005291,0.0199167756466784,2.19557322147162,39.8511704676998,0.000104435277089541,2e+06,2e+06,0.894734334568826,63069.873015873,2,880326.027453187,-0.166008025084934,0.0716437672510221,10.0773388558098,40.7069894886006,0.000159780547731142,3.58984412692702,0.0214753797907765
1_1334_1,conversion,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.5,1.5,3712528,145304373,1055556.95250286,8735.36,0.00827559325840957,1.10438329837343,39.8511704676998,0.000126426764137188,2e+06,2e+06,0.894734334568826,13103.04,0.5,880326.027453187,-0.166008025084934,0.0148843037594919,1.7368759401499,40.7069894886006,0.000132555188731004,0.572711161702664,0.0214753797907765
1_1334_1,conversion,FB_30_retarg_S,2020-05-06,2022-03-31,695 days,0.5,1.5,1076176,145304373,1055556.95250286,2809.8590078329,0.00266196816871924,0.000711331670793749,39.8511704676998,2.53155645465059e-07,2e+06,2e+06,0.894734334568826,4214.78851174935,0.5,880326.027453187,-0.166008025084934,0.00478775860341523,0.00206133638499157,40.7069894886006,4.89072317447315e-07,1.89785548658533,0.0214753797907765
1_1334_1,conversion,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.5,3,9915433,145304373,1055556.95250286,25359.1636828645,0.0240244390629371,1.70808550006417,39.8511704676998,6.73557504271463e-05,2e+06,2e+06,0.894734334568826,76077.4910485934,2,880326.027453187,-0.166008025084934,0.0864196771151799,6.93291571139371,40.7069894886006,9.11296576140427e-05,3.05888095832044,0.0214753797907765
1_1334_1,conversion,FB_40_broad_S,2020-05-06,2022-03-31,695 days,0.5,1.5,1258938,145304373,1055556.95250286,5245.575,0.00496948552852793,0.422976534451617,39.8511704676998,8.06349226636959e-05,2e+06,2e+06,0.894734334568826,7868.3625,0.5,880326.027453187,-0.166008025084934,0.00893800961759979,0.846142147107396,40.7069894886006,0.000107537260402961,1.00044701818839,0.0214753797907765
1_1334_1,conversion,FB_40_similar_S,2020-05-06,2022-03-31,695 days,0.5,1.5,6054607,145304373,1055556.95250286,10385.2607204117,0.00983865503020648,0.00111807695021583,39.8511704676998,1.07659978917844e-07,2e+06,2e+06,0.894734334568826,15577.8910806175,0.5,880326.027453187,-0.166008025084934,0.0176955929903434,0.00214843124455516,40.7069894886006,1.37915410592921e-07,0.921541486156587,0.0214753797907765
1_1334_1,conversion,FB_50_S,2020-05-06,2022-03-31,695 days,0.5,1.5,92379,145304373,1055556.95250286,3421.44444444444,0.00324136413135433,0.39112306362138,39.8511704676998,0.000114315187626812,2e+06,2e+06,0.894734334568826,5132.16666666667,0.5,880326.027453187,-0.166008025084934,0.00582984770030508,0.999262361947645,40.7069894886006,0.000194705750387616,1.55485409808245,0.0214753797907765
1_1334_1,conversion,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.5,1.5,49052834,145304373,1055556.95250286,75004.3333333333,0.0710566428040559,2.78852602399065,39.8511704676998,3.71781989128271e-05,2e+06,2e+06,0.894734334568826,112506.5,0.5,880326.027453187,-0.166008025084934,0.127800947025825,3.32406346732229,40.7069894886006,2.95455237459372e-05,0.192050365936779,0.0214753797907765
1_1334_1,conversion,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.5,1.5,27575823,145304373,1055556.95250286,40792.6375739645,0.0386456055045064,3.48783881246879,39.8511704676998,8.55016743191638e-05,2e+06,2e+06,0.894734334568826,61188.9563609468,0.5,880326.027453187,-0.166008025084934,0.0695071535462475,4.20090041258598,40.7069894886006,6.86545524294506e-05,0.204442245888211,0.0214753797907765
1_1334_1,conversion,FB_u25_S,2020-05-06,2022-03-31,695 days,0.5,1.5,366344,145304373,1055556.95250286,8935.21951219512,0.00846493359833271,0.0532898515321261,39.8511704676998,5.96402264761309e-06,2e+06,2e+06,0.894734334568826,13402.8292682927,0.5,880326.027453187,-0.166008025084934,0.0152248472160565,0.104366597697876,40.7069894886006,7.78690794374126e-06,0.958470415984518,0.0214753797907765
