solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,lambda_hp,lambda_max,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_1081_3,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,,,,,,,,,
1_1081_3,Complementary.goods_1,0.00314588051420134,170.00338298744,0.00695710434692506,0.24460918415459,0.00178227318678496,170.00338298744,0.00695710434692506,0.24460918415459,0.00178227318678496,TRUE,,,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,,,,,,,,,
1_1081_3,Complementary.goods_2,0.0128371181797574,302.917477687736,0.0123963915526117,0.435852485881634,0.00317571149940744,302.917477687736,0.0123963915526117,0.435852485881634,0.00317571149940744,TRUE,,,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,,,,,,,,,
1_1081_3,Complementary.goods_3,-0.0260916378165727,-433.643020511438,-0.0177461159301561,0,0,-433.643020511438,-0.0177461159301561,0,0,FALSE,,,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,,,,,,,,,
1_1081_3,FB_28_similar_S,18.2952629135669,1355.43902097852,0.0554690767861849,2.85957599362557,0.0208354630535534,1355.43902097852,0.0554690767861849,2.85957599362557,0.0208354630535534,TRUE,0.0269964160500803,0.110242445608442,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,3973402,21023.291005291,0.0269964160500803,0.110242445608442,0.000146258639467857,0.000341128086455516,2931.45020801564,3.0748379395707,0.000315611522160975
1_1081_3,FB_30_broad_S,0,0,0,0,0,0,0,0,0,TRUE,0.025223964372488,0,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,3712528,8735.36,0.025223964372488,0,0,0,Inf,0,0
1_1081_3,FB_30_retarg_S,0,0,0,0,0,0,0,0,0,TRUE,0.00731184386556186,0,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,1076176,2809.8590078329,0.00731184386556186,0,0,0,Inf,0,0
1_1081_3,FB_30_similar_S,16.755774558844,1249.65021767857,0.0511398468005174,3.19603636234927,0.0232869829981727,1249.65021767857,0.0511398468005174,3.19603636234927,0.0232869829981727,TRUE,0.0673682538501505,0.101638283994917,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,9915433,25359.1636828645,0.0673682538501505,0.101638283994917,1.37796364962388e-05,0.000126030826659669,7934.56669692707,0.349440057398492,3.73181781643805e-05
1_1081_3,FB_40_broad_S,0,0,0,0,0,0,0,0,0,TRUE,0.00855358054112219,0,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,1258938,5245.575,0.00855358054112219,0,0,0,Inf,0,0
1_1081_3,FB_40_retarg_S,0,0,0,0,0,0,0,0,0,TRUE,0.00606351673588473,0,0,0.0548221393954372,0.124608395423606,0.728351765950789,0.202628552764964,0.000117121509114471,933.299904467113,3,1081,0,1,4323,2,892444,2479.01111111111,0.00606351673588473,0,0,0,Inf,0,0
