solID,dep_var_type,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initCPAUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmCPAUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_1210_1,conversion,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3973402,127554076,565429.026643854,21023.291005291,0.0371811315207433,1.3331153656418,16.4266427428407,6.34113548305205e-05,127554076,565429.026643854,0,25227.9492063492,0.2,565429.026643857,6.21724893790088e-15,0.0446173578248917,2.17276182108803,18.4450537434944,8.6125186130516e-05,0.629837804803939,0.122874225260263
5_1210_1,conversion,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3712528,127554076,565429.026643854,8735.36,0.0154490830650301,0.339158887472822,16.4266427428407,3.88259771174653e-05,127554076,565429.026643854,0,10482.432,0.2,565429.026643857,6.21724893790088e-15,0.018538899678036,0.422539752397718,18.4450537434944,4.03093244389964e-05,0.245846026758114,0.122874225260263
5_1210_1,conversion,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,9915433,127554076,565429.026643854,25359.1636828645,0.0448494196228051,2.05716738811283,16.4266427428407,8.11212630605355e-05,127554076,565429.026643854,0,30430.9964194373,0.2,565429.026643857,6.21724893790088e-15,0.0538193035473658,2.84840918864811,18.4450537434944,9.3602232059307e-05,0.384626844226394,0.122874225260263
5_1210_1,conversion,FB_50_S,2020-05-06,2022-03-31,695 days,0.7,1.2,92379,127554076,565429.026643854,3421.44444444444,0.0060510590776577,0.0963143634525555,16.4266427428407,2.81502052762965e-05,127554076,565429.026643854,0,4105.73333333333,0.2,565429.026643857,6.21724893790088e-15,0.00726127089318919,0.163271865361258,18.4450537434944,3.97667973308687e-05,0.695197471161052,0.122874225260263
5_1210_1,conversion,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,49052834,127554076,565429.026643854,75004.3333333333,0.13265030587221,1.88787039206141,16.4266427428407,2.51701509520972e-05,127554076,565429.026643854,0,52503.0333333333,-0.3,565429.026643857,6.21724893790088e-15,0.0928552141105467,1.59852040513267,18.4450537434944,3.04462486002269e-05,-0.153267929909531,0.122874225260263
5_1210_1,conversion,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,27575823,127554076,565429.026643854,40792.6375739645,0.0721445763336422,1.82771420715692,16.4266427428407,4.48050019772059e-05,127554076,565429.026643854,0,47134.3978261865,0.155463353913392,565429.026643857,6.21724893790088e-15,0.0833604141371304,2.07832795451428,18.4450537434944,4.40936566576782e-05,0.137118673354951,0.122874225260263
5_1210_1,conversion,FB_u25_S,2020-05-06,2022-03-31,695 days,0.7,1.2,366344,127554076,565429.026643854,8935.21951219512,0.0158025483149155,0.194211608672067,16.4266427428407,2.17355162239719e-05,127554076,565429.026643854,0,6254.65365853659,-0.3,565429.026643857,6.21724893790088e-15,0.0110617838204408,0.155080534135116,18.4450537434944,2.47944238964306e-05,-0.201486794762227,0.122874225260263
5_1210_1,conversion,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30309208,127554076,565429.026643854,45170.2056631893,0.0798866056298885,2.96225780275421,16.4266427428407,6.5579905144604e-05,127554076,565429.026643854,0,42042.0204815682,-0.0692532862246926,565429.026643857,6.21724893790088e-15,0.0743541956646823,2.84888359751848,18.4450537434944,6.77627660346978e-05,-0.0382729028953254,0.122874225260263
5_1210_1,conversion,Google_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,219126,127554076,565429.026643854,3130.37142857143,0.00553627649282879,0.768426561391754,16.4266427428407,0.000245474563937747,127554076,565429.026643854,0,3756.44571428571,0.2,565429.026643857,6.21724893790088e-15,0.0066435317913945,0.848696504296419,18.4450537434944,0.000225930725171626,0.104460135734092,0.122874225260263
5_1210_1,conversion,Influencer_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2336999,127554076,565429.026643854,333857,0.590448994070279,4.96040616612432,16.4266427428407,1.48578767739611e-05,127554076,565429.026643854,0,343491.364670827,0.028857758473918,565429.026643857,6.21724893790088e-15,0.607488028532323,5.30856212040229,18.4450537434944,1.54547178369086e-05,0.070186985222217,0.122874225260263
